City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ocala,29.1872,-82.1401,62.6,88,40,8.05,US,1616140489
Port Alfred,-33.5906,26.891,71.26,77,99,19.17,ZA,1616140295
Havre-St-Pierre,50.2334,-63.5986,10.4,61,1,18.41,CA,1616140514
Deputatsky,69.3,139.9,-18.38,96,100,4.38,RU,1616140465
Labuhan,-6.8844,112.2051,85.23,75,8,11.56,ID,1616140697
Cape Town,-33.9258,18.4232,66.2,59,20,20.71,ZA,1616140081
Bethel,41.3712,-73.414,36.0,65,100,4.0,US,1616140416
Cidreira,-30.1811,-50.2056,69.4,79,47,6.87,BR,1616140363
Punta Arenas,-53.15,-70.9167,48.2,81,0,8.05,CL,1616140340
Mataura,-46.1927,168.8643,55.0,84,34,5.01,NZ,1616140324
Mehamn,71.0357,27.8492,23.0,86,100,25.32,NO,1616140586
Cabo San Lucas,22.8909,-109.9124,60.01,58,0,4.7,MX,1616140202
Busselton,-33.65,115.3333,91.99,24,98,1.99,AU,1616140311
Cap Malheureux,-19.9842,57.6142,84.0,66,0,8.99,MU,1616140698
Adrar,20.5022,-10.0711,71.19,11,0,6.98,MR,1616140303
Butaritari,3.0707,172.7902,81.73,77,0,9.8,KI,1616140365
Khatanga,71.9667,102.5,-15.92,93,100,9.01,RU,1616140386
Lingao,19.9103,109.6859,86.54,55,25,11.72,CN,1616140666
Dingle,10.9995,122.6711,87.22,64,23,9.89,PH,1616140699
Atuona,-9.8,-139.0333,80.11,81,3,12.5,PF,1616140700
Ushuaia,-54.8,-68.3,44.6,70,75,6.91,AR,1616140318
Bredasdorp,-34.5322,20.0403,64.4,68,75,5.75,ZA,1616140700
San Cristobal,7.7669,-72.225,64.6,93,48,2.1,VE,1616140700
Half Moon Bay,37.4636,-122.4286,53.6,93,90,8.05,US,1616140701
Rikitea,-23.1203,-134.9692,80.04,78,100,17.56,PF,1616140701
Faanui,-16.4833,-151.75,82.38,66,2,5.3,PF,1616140594
Shimoda,34.6667,138.95,60.8,67,75,10.36,JP,1616140483
Cherskiy,68.75,161.3,-25.58,99,0,4.09,RU,1616140377
Formosa do Rio Preto,-11.0483,-45.1931,67.33,94,100,1.41,BR,1616140702
